dataset;classifier;model-id;validation;accuracy;precision-micro;precision-macro;precision-weighted;recall-micro;recall-macro;recall-weighted;f1-score-micro;f1-score-macro;f1-score-weighted;auc-roc;explainer;removed_events_relevance;removed_events_num;explanation-time-avg;explanation-time-total;time-stamp
sepsis_raw;LSTM;1;split-0.8;0.93;0.93;0.8167869167869168;0.9104545454545455;0.93;0.7804232804232804;0.93;0.93;0.7850375292235758;0.9128940568475451;0.9934685876526519;lrp;highest;1;0.03764138000000002;3.764138000000002;2021-03-01T19:13:42.209415+01:00
sepsis_raw;LSTM;1;split-0.8;0.98;0.98;0.9879062736205594;0.9804761904761905;0.98;0.9708994708994708;0.98;0.98;0.9782376611644904;0.9796674057649668;0.9972630844818254;lime;highest;1;41.62454619499999;8324.909238999999;2021-03-01T21:40:06.666651+01:00
sepsis_raw;LSTM;1;split-0.8;0.89;0.89;0.7937912087912088;0.8773653846153846;0.89;0.7370370370370372;0.89;0.89;0.7395327942497755;0.8707169811320754;0.9894424413361806;lrp;highest;2;27.872453936666655;8361.736180999997;2021-03-01T21:50:03.935506+01:00
sepsis_raw;LSTM;1;split-0.8;0.91;0.91;0.9138154392191659;0.9149372670807453;0.91;0.9274445131587988;0.91;0.91;0.9163904323534823;0.9105084620427785;0.9904001889204176;lime;highest;2;43.22874853499998;17291.49941399999;2021-03-02T00:30:51.714283+01:00
sepsis_raw;LSTM;1;split-0.8;0.68;0.68;0.46805128205128205;0.7439692307692307;0.68;0.41674603174603175;0.68;0.68;0.426049795615013;0.6860312151616499;0.9574971637217197;lrp;highest;3;34.888860834000006;17444.430417000003;2021-03-02T00:48:37.491900+01:00
sepsis_raw;LSTM;1;split-0.8;0.85;0.85;0.7224489795918367;0.8459285714285714;0.85;0.6742321170892599;0.85;0.85;0.6917680164418679;0.8450300623936472;0.9534349359931521;lime;highest;3;45.012206705000004;27007.324023;2021-03-02T03:47:30.740614+01:00
sepsis_raw;LSTM;1;split-0.8;0.58;0.58;0.35669056152927114;0.6046774193548388;0.58;0.3476743626743627;0.58;0.58;0.3434697855750487;0.5741520467836257;0.8953458328916563;lrp;highest;4;38.97580318714284;27283.062230999985;2021-03-02T04:14:37.007693+01:00
sepsis_raw;LSTM;1;split-0.8;0.75;0.75;0.688230464599633;0.7704824688496088;0.75;0.567766096337525;0.75;0.75;0.5957875457875458;0.7466318681318681;0.9317074447566075;lime;highest;4;46.40979008375001;37127.83206700001;2021-03-02T07:26:11.297161+01:00
sepsis_raw;LSTM;1;split-0.8;0.4;0.4;0.21089030206677267;0.2791335453100159;0.4;0.2651851851851852;0.4;0.4000000000000001;0.23155018694276674;0.3258872591314352;0.8076177470796786;lrp;highest;5;41.733054500000044;37559.74905000004;2021-03-02T08:07:22.931583+01:00
sepsis_raw;LSTM;1;split-0.8;0.64;0.64;0.46543567722311685;0.686695652173913;0.64;0.3740767462989685;0.64;0.64;0.3975702443538701;0.6517278043593834;0.8596997027798967;lime;highest;5;48.17800834600003;48178.008346000024;2021-03-02T11:44:08.242242+01:00
